United States,133377,47.4,6544,2.1
Alabama,2418,54.4,9,0.2
Alaska,210,33.6,6,0.9
Arizona,1946,37.9,106,1.7
Arkansas,1516,56.7,2,0.1
California,14328,42.3,1220,3.3
Colorado,1604,37.3,90,1.8
Connecticut,1828,53.7,119,3.3
Delaware,299,38.2,15,1.7
District of Columbia,331,57.8,28,4.7
Florida,5904,36.9,613,3.3
Georgia,3528,43.1,128,1.3
Hawaii,431,35.6,8,0.6
Idaho,624,48.3,2,0.1
Illinois,6457,52,278,2.2
Indiana,2578,42.4,17,0.3
Iowa,1698,58,6,0.2
Kansas,1307,48.6,18,0.6
Kentucky,2141,53,11,0.3
Louisiana,2599,58.2,11,0.2
Maine,450,35.5,14,1
Maryland,2012,38,241,4.2
Massachusetts,3725,58.7,282,4.3
Michigan,3970,39.9,87,0.9
Minnesota,2974,60.5,47,0.9
Mississippi,1549,54.5,2,0.1
Missouri,2813,50.3,59,1
Montana,401,44.4,1,0.1
Nebraska,995,58.2,7,0.4
Nevada,604,30.2,74,2.8
New Hampshire,571,46.2,10,0.8
New Jersey,4262,50.7,505,5.7
New Mexico,1041,57.2,11,0.5
New York,9569,50.4,1625,8.4
North Carolina,3598,44.7,30,0.3
North Dakota,468,72.9,NA,NA
Ohio,4912,43.3,148,1.3
Oklahoma,2079,60.3,5,0.1
Oregon,1029,30.1,48,1.3
Pennsylvania,6751,55,295,2.3
Rhode Island,646,61.7,19,1.8
South Carolina,1874,46.7,11,0.2
South Dakota,510,67.6,NA,NA
Tennessee,2867,50.4,20,0.3
Texas,11316,54.3,130,0.5
Utah,1659,74.3,5,0.2
Vermont,230,37.8,5,0.9
Virginia,2807,39.7,98,1.2
Washington,1872,31.8,44,0.7
West Virginia,646,35.7,2,0.1
Wisconsin,3198,59.6,28,0.5
Wyoming,229,46.4,1,0.2
